crowdedness,dhall,datetime
2,TD,2019-05-06 18:46:09.814011
3,BF,2019-05-06 18:46:09.816015
1,BK,2019-05-06 18:51:46.107002
1,BR,2019-05-06 18:51:46.109003
1,GH,2019-05-06 18:51:46.111004
1,DC,2019-05-06 18:51:46.113005
3,MC,2019-05-06 18:51:46.114006
1,JE,2019-05-06 18:51:46.115007
1,PC,2019-05-06 18:51:46.116008
1,SM,2019-05-06 18:51:46.117009
1,TD,2019-05-06 18:51:46.118010
1,SY,2019-05-06 18:51:46.119011
2,ES,2019-05-06 18:51:46.120012
1,TC,2019-05-06 18:51:46.120013
