crowdedness,dhall,datetime
0,DC,2019-05-05 02:04:35.959005
0,MC,2019-05-05 02:04:35.960006
0,JE,2019-05-05 02:04:35.962007
0,PC,2019-05-05 02:04:35.963008
0,SM,2019-05-05 02:04:35.964009
0,TD,2019-05-05 02:04:35.965010
0,SY,2019-05-05 02:04:35.966011
0,ES,2019-05-05 02:04:35.967012
0,TC,2019-05-05 02:04:35.968013
0,BF,2019-05-05 02:04:35.969014
0,PM,2019-05-05 02:04:35.970015
0,BK,2019-05-05 02:05:34.872003
0,BR,2019-05-05 02:05:34.872004
0,GH,2019-05-05 02:05:34.872005
0,DC,2019-05-05 02:05:34.873006
0,MC,2019-05-05 02:05:34.873007
0,JE,2019-05-05 02:05:34.873008
0,PC,2019-05-05 02:05:34.873009
0,SM,2019-05-05 02:05:34.873010
0,TD,2019-05-05 02:05:34.873011
0,SY,2019-05-05 02:05:34.873012
0,ES,2019-05-05 02:05:34.874013
0,TC,2019-05-05 02:05:34.874014
0,BF,2019-05-05 02:05:34.874015
0,PM,2019-05-05 02:05:34.874016
0,BK,2019-05-05 02:18:58.964002
0,BR,2019-05-05 02:18:58.964003
0,GH,2019-05-05 02:18:58.964004
0,DC,2019-05-05 02:18:58.964005
0,MC,2019-05-05 02:18:58.964006
0,JE,2019-05-05 02:18:58.965007
0,PC,2019-05-05 02:18:58.965008
0,SM,2019-05-05 02:18:58.965009
0,TD,2019-05-05 02:18:58.965010
0,SY,2019-05-05 02:18:58.965011
0,ES,2019-05-05 02:18:58.965012
0,TC,2019-05-05 02:18:58.965013
0,BF,2019-05-05 02:18:58.966014
0,PM,2019-05-05 02:18:58.966015
0,BK,2019-05-05 02:19:31.140055
0,BR,2019-05-05 02:19:31.142056
0,GH,2019-05-05 02:19:31.144057
0,DC,2019-05-05 02:19:31.146058
0,MC,2019-05-05 02:19:31.148059
0,JE,2019-05-05 02:19:31.149060
0,PC,2019-05-05 02:19:31.150061
0,SM,2019-05-05 02:19:31.151062
0,TD,2019-05-05 02:19:31.152063
0,SY,2019-05-05 02:19:31.153064
0,ES,2019-05-05 02:19:31.154065
0,TC,2019-05-05 02:19:31.154066
0,BF,2019-05-05 02:19:31.156067
0,PM,2019-05-05 02:19:31.157068
0,BK,2019-05-05 02:19:46.760107
0,BR,2019-05-05 02:19:46.763108
0,GH,2019-05-05 02:19:46.764109
0,DC,2019-05-05 02:19:46.766110
0,MC,2019-05-05 02:19:46.768111
0,JE,2019-05-05 02:19:46.770112
0,PC,2019-05-05 02:19:46.771113
0,SM,2019-05-05 02:19:46.772114
0,TD,2019-05-05 02:19:46.772115
0,SY,2019-05-05 02:19:46.773116
0,ES,2019-05-05 02:19:46.774117
0,TC,2019-05-05 02:19:46.775118
0,BF,2019-05-05 02:19:46.776119
0,PM,2019-05-05 02:19:46.777120
0,BK,2019-05-05 02:21:39.952003
0,BR,2019-05-05 02:21:39.952004
0,GH,2019-05-05 02:21:39.953005
0,DC,2019-05-05 02:21:39.953006
